,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
56,53,2018-02-02,,NOP,L,100,114,46,90,.511,13,24,.542,9,13,.692,5,41,30,10,2,16,20
57,54,2018-02-04,,LAL,L,104,108,42,86,.488,13,30,.433,11,18,.611,8,40,24,6,7,19,20
58,55,2018-02-06,@,GSW,W,125,105,37,76,.487,8,28,.286,23,31,.742,10,45,27,7,8,25,24
59,56,2018-02-08,@,LAL,L,81,106,42,96,.438,10,31,.323,12,13,.923,13,51,28,5,7,8,19
60,57,2018-02-11,,MEM,W,110,92,32,82,.390,6,28,.214,22,24,.917,12,47,21,4,5,17,32
61,58,2018-02-13,,CLE,L,112,120,45,88,.511,16,36,.444,14,22,.636,10,41,24,6,3,7,28
62,59,2018-02-14,@,MEM,W,121,114,44,86,.512,14,27,.519,12,15,.800,6,41,29,6,2,12,25
63,60,2018-02-22,@,SAC,W,110,107,42,91,.462,12,27,.444,11,15,.733,10,44,23,6,4,9,20
64,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,
66,61,2018-02-24,@,GSW,L,80,112,42,89,.472,17,38,.447,11,13,.846,12,54,36,8,6,14,21
67,62,2018-02-26,,ORL,W,112,105,39,84,.464,12,29,.414,15,21,.714,8,35,23,15,6,16,19
68,63,2018-02-28,@,DAL,W,111,110,44,91,.484,13,36,.361,9,15,.600,8,36,30,11,1,16,22
69,64,2018-03-02,@,PHO,W,124,116,46,96,.479,11,25,.440,13,18,.722,13,44,26,5,12,13,25
70,65,2018-03-03,@,POR,L,100,108,39,88,.443,11,33,.333,19,23,.826,14,47,20,6,8,15,21
71,66,2018-03-06,,HOU,L,112,122,38,72,.528,17,33,.515,29,34,.853,7,37,25,11,7,20,20
72,67,2018-03-08,,PHO,W,115,87,31,92,.337,9,37,.243,16,18,.889,7,43,15,9,4,13,25
73,68,2018-03-10,,SAS,W,104,94,40,86,.465,10,20,.500,4,7,.571,6,43,26,6,3,14,22
74,69,2018-03-12,,SAC,W,106,101,38,93,.409,12,33,.364,13,16,.813,13,49,21,8,6,11,22
75,70,2018-03-13,@,ATL,W,119,107,37,87,.425,13,31,.419,20,24,.833,13,47,26,5,5,15,25
76,71,2018-03-16,,LAC,W,121,113,42,86,.488,11,26,.423,18,23,.783,16,48,21,10,3,21,18
77,72,2018-03-18,@,TOR,W,132,125,46,81,.568,15,30,.500,18,23,.783,8,31,31,5,1,19,25
78,73,2018-03-20,@,BOS,L,99,100,36,87,.414,13,36,.361,15,16,.938,11,52,22,6,5,17,24
79,74,2018-03-23,,MIA,W,105,99,34,87,.391,13,30,.433,18,20,.900,8,41,22,4,1,10,25
80,75,2018-03-25,,POR,L,105,108,42,90,.467,9,34,.265,15,19,.789,18,49,20,8,7,13,19
81,76,2018-03-29,@,SAS,L,99,103,34,81,.420,13,31,.419,22,30,.733,14,48,22,13,6,16,18
82,77,2018-03-30,,DEN,L,125,126,49,94,.521,10,30,.333,18,21,.857,12,58,27,4,5,15,24
83,78,2018-04-01,@,NOP,W,109,104,38,83,.458,11,32,.344,17,23,.739,7,44,28,13,3,21,20
84,79,2018-04-03,,GSW,L,107,111,41,83,.494,8,29,.276,21,24,.875,6,40,27,9,5,13,25
85,80,2018-04-07,@,HOU,W,108,102,36,76,.474,14,37,.378,16,23,.696,6,41,23,7,5,17,24
86,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,
88,81,2018-04-09,@,MIA,W,115,93,40,87,.460,5,22,.227,8,14,.571,8,43,21,6,4,15,24
89,82,2018-04-11,,MEM,W,137,123,44,91,.484,13,31,.419,22,24,.917,9,41,22,9,2,13,22
