Date,W/L,H/A,eFG%,TOV%,ORB%,FTR,Team,eFG%_opp,TOV%_opp,ORB%_opp,FTR_opp
2018-10-22,1,1,0.544921875,0.1306013466449965,0.20353982300884957,0.34765625,IND,0.5166051660516605,0.12295081967213115,0.22142857142857142,0.16236162361623616
2018-10-26,0,1,0.43686006825938567,0.10407290729072907,0.25308641975308643,0.15358361774744028,MIL,0.5538194444444444,0.11712214166201895,0.24822695035460993,0.1840277777777778
2018-10-29,1,1,0.4493464052287582,0.09725524097687485,0.3081395348837209,0.16013071895424835,LAL,0.5443262411347518,0.13534852244529663,0.24444444444444444,0.14184397163120568
2018-10-31,1,1,0.49324324324324326,0.09898812142542894,0.27848101265822783,0.1858108108108108,UTA,0.5716981132075472,0.12888074235307595,0.265625,0.2528301886792453
2018-11-12,1,1,0.530188679245283,0.15658808791709372,0.2692307692307692,0.22264150943396227,BRK,0.4906015037593985,0.10236312587739822,0.27741935483870966,0.24060150375939848
2018-11-14,1,1,0.5056818181818182,0.1541307028360049,0.26717557251908397,0.26515151515151514,NOP,0.5412186379928315,0.13826185101580135,0.3007518796992481,0.15412186379928317
2018-11-16,1,1,0.5458015267175572,0.14661036828524512,0.232,0.20229007633587787,POR,0.5056179775280899,0.15437492718163812,0.26618705035971224,0.16104868913857678
2018-11-18,0,1,0.5076335877862596,0.14180545498431088,0.22058823529411764,0.15267175572519084,MEM,0.554,0.11594384557533216,0.17692307692307693,0.204
2018-11-21,0,1,0.5119521912350598,0.15155264134603488,0.2109375,0.17131474103585656,DEN,0.5341726618705036,0.12900516020640826,0.2318840579710145,0.0683453237410072
2018-11-24,1,1,0.48722627737226276,0.10881072814962944,0.2714285714285714,0.20802919708029197,CHI,0.49609375,0.13988095238095238,0.16535433070866143,0.2421875
2018-11-28,1,1,0.515625,0.0847754911131899,0.2978723404255319,0.1527777777777778,SAS,0.5220588235294118,0.1144578313253012,0.20588235294117646,0.15441176470588236
2018-12-01,0,1,0.5411985018726592,0.09754907938056334,0.234375,0.18726591760299627,BOS,0.5967153284671532,0.11155330438977328,0.2727272727272727,0.15693430656934307
2018-12-03,1,1,0.5399239543726235,0.11377245508982035,0.2713178294573643,0.21292775665399238,HOU,0.576171875,0.11986722399803294,0.21487603305785125,0.20703125
2018-12-05,1,1,0.541501976284585,0.13505402160864347,0.2689075630252101,0.233201581027668,CHO,0.4982394366197183,0.08589029735813293,0.2108843537414966,0.1443661971830986
2018-12-17,1,1,0.5263157894736842,0.09389938538584111,0.2518518518518518,0.21403508771929824,SAC,0.5211267605633803,0.10530510018214936,0.1568627450980392,0.19014084507042253
2018-12-19,0,1,0.4915254237288136,0.08093324402768476,0.23404255319148937,0.21694915254237288,DET,0.5572519083969466,0.13689852033088665,0.2153846153846154,0.20610687022900764
2018-12-28,0,1,0.5437956204379562,0.11397310234784591,0.2361111111111111,0.20072992700729927,ATL,0.5267857142857143,0.15859127201137482,0.30935251798561153,0.16785714285714284
2019-01-04,1,1,0.5317164179104478,0.09712273886123589,0.24390243902439024,0.19029850746268656,ORL,0.54296875,0.11088581928779623,0.16541353383458646,0.14453125
2019-01-06,1,1,0.5359848484848485,0.11761158021712906,0.21311475409836064,0.17803030303030304,LAL,0.45072992700729925,0.14867841409691632,0.1951219512195122,0.18613138686131386
2019-01-11,0,1,0.505338078291815,0.10554541305340027,0.28368794326241137,0.20640569395017794,DAL,0.5,0.13020833333333331,0.25,0.2648221343873518
2019-01-12,1,1,0.49473684210526314,0.10144274120829576,0.31333333333333335,0.21754385964912282,NOP,0.566,0.13413616310957432,0.23008849557522124,0.308
2019-01-18,0,1,0.4681647940074906,0.10154346060113728,0.22666666666666666,0.299625468164794,SAS,0.548582995951417,0.1203956787713133,0.18699186991869918,0.17408906882591094
2019-01-20,1,1,0.45849056603773586,0.10519731604685545,0.2246376811594203,0.35094339622641507,PHO,0.5097276264591439,0.11194909262314401,0.23308270676691728,0.29571984435797666
2019-01-27,0,1,0.5074349442379182,0.12303726271385047,0.3,0.22304832713754646,UTA,0.539179104477612,0.09854276158623985,0.24285714285714285,0.208955223880597
2019-01-30,1,1,0.4904580152671756,0.1208313194780087,0.2222222222222222,0.2099236641221374,MEM,0.49795918367346936,0.1510667159945739,0.2540983606557377,0.20816326530612245
2019-02-02,0,1,0.5134099616858238,0.10564255530698484,0.1935483870967742,0.1839080459770115,DEN,0.5884615384615385,0.08663842895648825,0.25203252032520324,0.16153846153846155
2019-02-11,1,1,0.5410714285714285,0.11149228130360206,0.302158273381295,0.2,LAC,0.5352697095435685,0.16709662288930582,0.18699186991869918,0.31950207468879666
2019-02-13,1,1,0.5701107011070111,0.10850439882697947,0.3023255813953488,0.2177121771217712,HOU,0.5401459854014599,0.09104151493080845,0.21641791044776118,0.17153284671532848
2019-02-25,1,1,0.5459558823529411,0.12776831345826237,0.19402985074626866,0.21323529411764705,SAC,0.47079037800687284,0.1094267107932102,0.21739130434782608,0.2508591065292096
2019-03-05,1,1,0.5505415162454874,0.10235414534288638,0.3282442748091603,0.22382671480144403,OKC,0.48,0.11056929008845542,0.26380368098159507,0.20727272727272728
2019-03-09,1,1,0.5452961672473867,0.08776896942242356,0.2518518518518518,0.23344947735191637,WAS,0.5609318996415771,0.12359550561797752,0.2835820895522388,0.21505376344086022
2019-03-10,1,1,0.5154109589041096,0.09414584046559397,0.24087591240875914,0.17465753424657535,NYK,0.4669260700389105,0.14225181598062955,0.2366412213740458,0.16342412451361868
2019-03-19,0,1,0.47058823529411764,0.11150234741784038,0.25,0.1948529411764706,GSW,0.5629770992366412,0.12918307086614172,0.17293233082706766,0.14122137404580154
2019-03-26,0,1,0.5113207547169811,0.12226362366092222,0.21768707482993196,0.2188679245283019,LAC,0.5711462450592886,0.11470734126984126,0.18487394957983194,0.2648221343873518
2019-03-29,1,1,0.5125,0.12372154404486967,0.25333333333333335,0.2392857142857143,GSW,0.625,0.12643394597261626,0.1810344827586207,0.19140625
2019-03-30,0,1,0.5017667844522968,0.09763445659451014,0.18831168831168832,0.23674911660777384,PHI,0.5505836575875487,0.1076923076923077,0.23622047244094488,0.2178988326848249
2019-04-01,0,1,0.5228070175438596,0.09623004641684592,0.20567375886524822,0.22456140350877193,POR,0.5086505190311419,0.11045655375552284,0.3049645390070922,0.15916955017301038
2019-04-05,1,1,0.5466417910447762,0.10625379477838495,0.192,0.1865671641791045,MIA,0.5166051660516605,0.13823529411764707,0.2446043165467626,0.13284132841328414
2019-04-07,0,1,0.5642023346303502,0.1193390452876377,0.1694915254237288,0.22178988326848248,OKC,0.5508474576271186,0.11446636869072277,0.36879432624113473,0.16610169491525423
2019-04-09,0,1,0.5438931297709924,0.12906711489974787,0.15625,0.1984732824427481,TOR,0.5823529411764706,0.1318371351483934,0.1322314049586777,0.2
2018-10-22,0,1,0.52,0.14218009478672985,0.1953125,0.28,MEM,0.46586345381526106,0.10163853640507577,0.15671641791044777,0.2971887550200803
2018-11-02,0,1,0.5649606299212598,0.13777405055708639,0.2857142857142857,0.20078740157480315,MEM,0.5942982456140351,0.1248849743657158,0.1651376146788991,0.27631578947368424
2018-11-05,0,1,0.4959016393442623,0.11815920398009949,0.2318840579710145,0.2336065573770492,TOR,0.590566037735849,0.11979358643568006,0.21138211382113822,0.1471698113207547
2018-11-07,1,1,0.498046875,0.1057274045432576,0.2097902097902098,0.23828125,DAL,0.5296610169491526,0.17609837631327602,0.28205128205128205,0.326271186440678
2018-11-09,1,1,0.5595238095238095,0.11687844641572764,0.22580645161290322,0.27380952380952384,BOS,0.5220588235294118,0.10695187165775401,0.21323529411764705,0.19852941176470587
2018-11-21,0,1,0.525,0.13351983723296032,0.17054263565891473,0.20833333333333334,SAC,0.5358361774744027,0.11295606009262396,0.24305555555555555,0.11604095563139932
2018-11-26,0,1,0.49224806201550386,0.15813517629143725,0.22058823529411764,0.1937984496124031,IND,0.552434456928839,0.12808001951695536,0.20833333333333334,0.13108614232209737
