,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2022-10-19,,HOU,W,117,107,45,90,.500,7,25,.280,20,24,.833,4,38,30,12,5,9,18
1,2,2022-10-21,,ORL,W,108,98,40,89,.449,13,31,.419,15,16,.938,9,46,26,10,2,17,22
2,3,2022-10-23,,CHO,L,109,126,39,95,.411,8,35,.229,23,28,.821,16,45,23,8,9,12,21
3,4,2022-10-26,@,DET,W,118,113,45,91,.495,8,22,.364,20,25,.800,10,46,22,6,12,12,20
4,5,2022-10-28,@,DET,W,136,112,55,97,.567,12,29,.414,14,18,.778,10,45,31,5,8,6,26
5,6,2022-10-29,@,MIL,L,115,123,45,94,.479,13,29,.448,12,15,.800,12,42,19,5,2,12,23
6,7,2022-10-31,@,TOR,L,109,139,39,84,.464,11,29,.379,20,25,.800,7,37,28,1,4,18,27
7,8,2022-11-02,@,NYK,W,112,99,44,107,.411,12,34,.353,12,16,.750,17,51,28,11,4,7,18
8,9,2022-11-05,,NOP,W,124,121,47,103,.456,9,36,.250,21,25,.840,12,50,28,12,8,13,23
9,10,2022-11-07,,MIL,W,117,98,46,99,.465,11,29,.379,14,17,.824,12,48,23,11,3,12,18
10,11,2022-11-09,,UTA,L,119,125,51,109,.468,8,28,.286,9,11,.818,17,54,24,5,5,11,16
11,12,2022-11-10,,PHI,W,104,95,39,88,.443,6,26,.231,20,23,.870,11,54,19,8,2,18,22
12,13,2022-11-12,@,PHI,L,109,121,40,89,.449,6,24,.250,23,27,.852,12,43,20,4,2,18,19
13,14,2022-11-14,@,MIL,W,121,106,44,92,.478,7,20,.350,26,30,.867,13,45,23,4,4,9,23
14,15,2022-11-16,,BOS,L,101,126,42,101,.416,7,32,.219,10,13,.769,14,45,21,5,5,9,11
15,16,2022-11-19,,TOR,W,124,122,46,92,.500,7,25,.280,25,32,.781,11,50,23,5,5,14,20
16,17,2022-11-21,@,CLE,L,102,114,38,87,.437,11,34,.324,15,17,.882,10,35,24,11,3,16,21
17,18,2022-11-23,,SAC,W,115,106,41,92,.446,11,30,.367,22,23,.957,10,47,23,9,6,13,20
18,19,2022-11-25,@,HOU,L,122,128,39,82,.476,15,39,.385,29,36,.806,6,28,14,9,6,13,26
