,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2017-10-18,@,MEM,L,91,103,39,92,.424,9,29,.310,16,28,.571,15,45,19,9,8,11,29
1,2,2017-10-20,,GSW,L,120,128,47,92,.511,18,41,.439,16,20,.800,10,49,29,6,8,18,23
2,3,2017-10-22,@,LAL,W,119,112,44,90,.489,9,27,.333,15,20,.750,9,38,27,7,6,17,24
3,4,2017-10-24,@,POR,L,93,103,33,88,.375,10,29,.345,27,33,.818,18,63,17,7,7,18,22
4,5,2017-10-26,@,SAC,W,114,106,38,81,.469,7,20,.350,23,25,.920,5,34,25,7,5,12,17
5,6,2017-10-28,,CLE,W,123,101,36,78,.462,12,32,.375,17,23,.739,5,37,19,8,2,18,19
6,7,2017-10-30,,ORL,L,99,115,43,85,.506,16,34,.471,13,18,.722,6,43,27,10,1,16,19
7,8,2017-11-01,,MIN,L,98,104,41,83,.494,6,22,.273,16,24,.667,11,47,20,13,3,21,21
8,9,2017-11-03,@,DAL,W,99,94,34,88,.386,9,34,.265,17,22,.773,9,47,19,4,7,15,24
9,10,2017-11-04,@,CHI,W,96,90,35,99,.354,11,42,.262,9,12,.750,16,58,23,10,5,17,19
10,11,2017-11-07,@,IND,W,117,112,44,93,.473,9,24,.375,15,18,.833,11,41,19,4,4,10,21
11,12,2017-11-09,@,TOR,L,118,122,45,98,.459,16,42,.381,16,23,.696,10,48,27,8,4,12,24
12,13,2017-11-11,,LAC,W,111,103,35,86,.407,10,26,.385,23,27,.852,8,37,16,12,1,11,24
13,14,2017-11-13,,ATL,W,106,105,40,87,.460,17,36,.472,8,9,.889,10,36,25,14,1,16,18
14,15,2017-11-15,,TOR,L,116,125,45,76,.592,16,34,.471,19,20,.950,6,37,27,8,6,21,20
15,16,2017-11-17,@,DEN,L,114,146,56,89,.629,18,35,.514,16,21,.762,13,48,37,5,4,14,15
16,17,2017-11-20,,OKC,W,114,107,38,89,.427,11,35,.314,20,26,.769,9,40,22,14,2,14,25
17,18,2017-11-22,,SAS,W,107,90,35,88,.398,6,24,.250,14,15,.933,8,39,22,10,5,15,23
18,19,2017-11-24,@,PHO,W,115,91,37,94,.394,2,20,.100,15,18,.833,15,48,12,9,6,16,18
19,20,2017-11-25,@,GSW,L,95,110,39,94,.415,10,33,.303,22,27,.815,11,44,30,11,6,9,24
20,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,
22,21,2017-11-29,,MIN,L,102,120,47,81,.580,9,23,.391,17,19,.895,10,44,30,10,1,17,14
23,22,2017-12-01,@,UTA,L,108,114,42,85,.494,12,30,.400,18,25,.720,8,46,25,7,3,7,15
24,23,2017-12-02,@,POR,W,123,116,47,105,.448,11,35,.314,11,11,1.000,9,44,20,6,3,4,17
25,24,2017-12-04,,GSW,L,115,125,45,87,.517,16,33,.485,19,27,.704,5,40,36,14,5,16,17
26,25,2017-12-06,,DEN,W,123,114,41,94,.436,16,35,.457,16,22,.727,10,40,22,7,4,9,21
27,26,2017-12-08,,SAC,L,109,116,47,97,.485,13,30,.433,9,14,.643,11,46,21,12,4,17,21
28,27,2017-12-10,,PHI,W,131,124,44,96,.458,9,29,.310,27,30,.900,22,47,26,5,4,17,29
29,28,2017-12-11,@,HOU,L,123,130,48,88,.545,17,45,.378,17,25,.680,4,36,30,12,7,9,15
30,29,2017-12-13,,MIL,W,115,108,44,95,.463,8,27,.296,12,19,.632,15,38,23,14,5,9,13
31,30,2017-12-15,@,DEN,L,111,117,46,100,.460,16,36,.444,9,14,.643,11,48,30,12,4,15,17
32,31,2017-12-19,@,WAS,L,106,116,46,92,.500,14,35,.400,10,14,.714,10,44,29,8,3,16,31
33,32,2017-12-22,@,ORL,W,111,97,36,85,.424,4,20,.200,21,29,.724,10,40,16,7,2,14,19
34,33,2017-12-23,@,MIA,W,109,94,36,85,.424,10,32,.313,12,15,.800,13,38,18,4,3,13,19
35,34,2017-12-27,,BRK,W,128,113,41,90,.456,19,38,.500,12,14,.857,10,43,26,8,3,15,18
36,35,2017-12-29,,DAL,L,120,128,46,83,.554,22,39,.564,14,18,.778,5,43,27,5,4,15,23
37,36,2017-12-30,,NYK,L,103,105,41,94,.436,5,19,.263,18,21,.857,9,51,24,6,7,6,24
38,37,2018-01-03,@,UTA,W,108,98,38,84,.452,7,32,.219,15,17,.882,6,36,23,12,1,14,21
39,38,2018-01-06,@,MIN,L,98,116,44,90,.489,9,18,.500,19,21,.905,13,47,26,10,5,9,20
40,39,2018-01-08,,DET,W,112,109,41,93,.441,8,27,.296,19,22,.864,12,39,22,5,4,12,18
41,40,2018-01-10,@,MEM,L,102,105,37,88,.420,5,19,.263,26,32,.813,14,50,21,7,5,9,26
42,,,,,,,,,,,,,,,,,,,,,,,
