,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
56,53,2017-02-03,@,BOS,L,107,113,39,82,.476,13,35,.371,22,28,.786,7,47,28,8,1,16,19
57,54,2017-02-06,@,NYK,W,121,107,37,82,.451,7,21,.333,26,33,.788,6,40,16,4,4,16,24
58,55,2017-02-08,@,DET,L,102,121,51,97,.526,4,16,.250,15,24,.625,14,52,32,11,6,14,14
59,56,2017-02-10,@,MIL,W,122,114,40,76,.526,8,28,.286,26,31,.839,4,34,27,11,5,20,29
60,57,2017-02-14,,SAC,L,96,97,36,73,.493,7,24,.292,18,25,.720,7,38,23,9,3,17,12
61,58,2017-02-15,@,PHO,L,101,137,49,88,.557,10,24,.417,29,34,.853,12,59,32,7,10,15,20
62,59,2017-02-24,@,OKC,L,93,110,44,97,.454,10,24,.417,12,17,.706,14,59,28,9,6,17,14
63,60,2017-02-26,,SAS,L,98,119,49,94,.521,10,21,.476,11,13,.846,13,46,37,12,5,12,15
64,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,
66,61,2017-02-28,,CHO,L,104,109,38,85,.447,16,39,.410,17,24,.708,11,45,25,3,5,12,11
67,62,2017-03-03,,BOS,L,95,115,43,84,.512,10,33,.303,19,25,.760,6,46,30,7,2,18,17
68,63,2017-03-05,,NOP,L,97,105,36,89,.404,9,24,.375,24,35,.686,13,44,23,12,5,13,12
69,64,2017-03-07,@,DAL,L,111,122,45,83,.542,17,31,.548,15,19,.789,6,41,25,5,5,14,17
70,65,2017-03-09,@,PHO,W,122,110,42,91,.462,6,19,.316,20,25,.800,18,54,20,7,10,19,24
71,66,2017-03-12,,PHI,L,116,118,41,79,.519,10,24,.417,26,32,.813,4,34,28,8,4,16,24
72,67,2017-03-13,@,DEN,L,101,129,45,84,.536,17,38,.447,22,25,.880,6,42,36,9,7,15,18
73,68,2017-03-15,@,HOU,L,100,139,50,91,.549,18,43,.419,21,32,.656,13,50,37,13,4,19,21
74,69,2017-03-17,,MIL,L,103,107,40,82,.488,4,24,.167,23,30,.767,10,43,22,7,9,14,25
75,70,2017-03-19,,CLE,L,120,125,45,85,.529,13,36,.361,22,27,.815,10,44,19,4,2,10,16
76,71,2017-03-21,,LAC,L,109,133,45,84,.536,15,33,.455,28,32,.875,13,48,23,4,4,15,21
77,72,2017-03-24,,MIN,W,130,119,46,95,.484,7,21,.333,20,22,.909,12,37,32,13,10,13,20
78,73,2017-03-26,,POR,L,81,97,36,89,.404,12,28,.429,13,18,.722,12,61,24,8,4,13,16
79,74,2017-03-28,,WAS,L,108,119,48,94,.511,6,23,.261,17,25,.680,13,41,24,12,3,12,20
80,75,2017-03-30,@,MIN,L,104,119,43,89,.483,10,21,.476,23,30,.767,14,40,30,9,5,10,20
81,76,2017-04-01,@,LAC,L,104,115,38,69,.551,11,25,.440,28,34,.824,4,39,24,8,5,17,19
82,77,2017-04-02,,MEM,W,108,103,40,80,.500,13,30,.433,10,14,.714,5,33,29,8,5,14,19
83,78,2017-04-05,@,SAS,W,102,95,39,89,.438,13,35,.371,4,6,.667,7,37,28,8,8,14,13
84,79,2017-04-07,,SAC,W,98,94,38,75,.507,8,20,.400,10,13,.769,10,40,27,5,6,23,19
85,80,2017-04-09,,MIN,W,110,109,40,80,.500,3,15,.200,26,31,.839,8,41,27,8,6,14,16
86,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,
88,81,2017-04-11,,NOP,W,108,96,37,79,.468,7,22,.318,15,20,.750,5,39,29,5,5,16,16
89,82,2017-04-12,@,GSW,L,94,109,41,90,.456,12,36,.333,15,22,.682,14,54,26,14,8,20,17
