,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2014-10-28,,DAL,W,101,100,38,78,.487,8,21,.381,16,19,.842,9,33,17,9,3,10,20
1,2,2014-10-31,@,PHO,L,89,94,35,87,.402,2,18,.111,22,26,.846,12,50,15,2,5,7,21
2,3,2014-11-05,,ATL,W,94,92,38,92,.413,8,25,.320,8,11,.727,10,37,26,14,5,13,25
3,4,2014-11-06,@,HOU,L,81,98,34,72,.472,10,27,.370,20,33,.606,8,44,18,7,6,21,20
4,5,2014-11-08,,NOP,L,99,100,40,85,.471,8,21,.381,12,14,.857,6,30,22,11,9,11,20
5,6,2014-11-10,@,LAC,W,89,85,33,74,.446,5,22,.227,14,17,.824,8,44,26,6,8,15,20
6,7,2014-11-11,@,GSW,W,113,100,38,70,.543,7,20,.350,17,20,.850,1,38,23,5,4,19,16
7,8,2014-11-14,@,LAL,W,93,80,28,75,.373,2,12,.167,22,31,.710,11,46,17,6,5,13,13
8,9,2014-11-15,@,SAC,L,91,94,37,86,.430,0,12,.000,20,24,.833,8,42,19,5,6,9,18
9,10,2014-11-17,,PHI,W,100,75,27,83,.325,4,26,.154,17,24,.708,5,39,15,11,4,13,18
10,11,2014-11-19,@,CLE,W,92,90,37,83,.446,7,18,.389,9,13,.692,10,38,23,7,5,16,21
11,12,2014-11-21,@,MIN,W,121,92,37,90,.411,4,13,.308,14,22,.636,11,34,16,12,3,11,17
12,13,2014-11-22,,BRK,W,99,87,34,91,.374,9,27,.333,10,10,1.000,13,44,24,5,5,11,14
13,14,2014-11-26,,IND,W,106,100,40,87,.460,10,21,.476,10,18,.556,7,36,23,9,1,12,23
14,15,2014-11-28,,SAC,W,112,104,38,75,.507,6,10,.600,22,26,.846,8,46,22,4,4,14,20
15,16,2014-11-30,@,BOS,W,111,89,36,87,.414,6,18,.333,11,15,.733,12,42,21,5,5,15,21
